name,description,price,stockQuantity
Smartphone XYZ,High-end smartphone with 128GB storage,699.99,50
Laptop ABC,Lightweight laptop with 16GB RAM and 512GB SSD,1199.99,30
Wireless Headphones,Noise-cancelling over-ear headphones,199.99,100
Smartwatch 123,Water-resistant smartwatch with heart rate monitor,149.99,75
4K TV Ultra,55-inch 4K Ultra HD Smart TV,799.99,20
Tablet Pro,10-inch tablet with 64GB storage and stylus support,399.99,40
Bluetooth Speaker,Portable Bluetooth speaker with 12-hour battery life,49.99,200
Digital Camera,24MP digital camera with 4K video recording,549.99,15
Gaming Console,Next-gen gaming console with 1TB storage,499.99,25
External Hard Drive,2TB external hard drive with USB 3.0,89.99,150
